id,sympy,natural_language
955,"ForAll(w, Equivalent(R(w), Q(w)))","For all w, R(w) if and only if Q(w)."
956,"Exists(w, Not(S(w)))",There exists w such that not S(w).
957,"Exists(y, ForAll(u, Equivalent(U(y), M(y,u))))","There exists y such that for all u, U(y) iff M(y,u)."
958,"Exists(y, Exists(z, And(L(y,z), R(y))))","There exist y and z such that L(y,z) and R(y)."
959,"Exists(y, Exists(v, And(M(y,v), U(y))))","There exist y and v such that M(y,v) and U(y)."
960,"Exists(y, Exists(u, Exists(w, And(M(y,u), M(u,w)))))","There exist y, u, and w such that M(y,u) and M(u,w)."
961,"ForAll(w, Implies(And(U(w), T(w)), P(w)))","For all w, if U(w) and T(w) then P(w)."
962,"ForAll(y, Or(U(y), Exists(x, T(x))))","For all y, either U(y) or there exists x such that T(x)."
963,"Exists(x, And(Not(R(x)), Exists(v, N(x,v))))","There exists x such that not R(x) and there exists v with N(x,v)."
964,"Exists(x, And(Not(V(x)), Exists(v, N(x,v))))","There exists x such that not V(x) and there exists v with N(x,v)."
965,"ForAll(z, Implies(Q(z), And(T(z), U(z))))","For all z, if Q(z) then T(z) and U(z)."
966,"ForAll(u, Or(Not(P(u)), R(u)))","For all u, either not P(u) or R(u)."
967,"Exists(v, And(Not(Q(v)), Exists(u, L(v,u))))","There exists v such that not Q(v) and there exists u with L(v,u)."
968,"Exists(u, And(Not(Q(u)), Exists(x, M(u,x))))","There exists u such that not Q(u) and there exists x with M(u,x)."
969,"Exists(v, Exists(w, And(O(v,w), P(v))))","There exist v and w such that O(v,w) and P(v)."
970,"ForAll(y, Or(P(y), Exists(x, V(x))))","For all y, either P(y) or there exists x such that V(x)."
971,"ForAll(x, Exists(z, O(x,z)))","For all x, there exists z such that O(x,z)."
972,"ForAll(v, ForAll(z, Implies(N(v,z), N(z,v))))","For all v and z, if N(v,z) then N(z,v)."
973,"ForAll(z, Implies(S(z), R(z)))","For all z, if S(z) then R(z)."
974,"ForAll(z, Implies(V(z), Or(U(z), Q(z))))","For all z, if V(z) then U(z) or Q(z)."
975,"ForAll(w, Implies(Q(w), Exists(u, M(w,u))))","For all w, if Q(w) then there exists u such that M(w,u)."
976,"ForAll(w, Exists(y, O(w,y)))","For all w, there exists y such that O(w,y)."
977,"Exists(w, ForAll(x, Equivalent(Q(w), M(w,x))))","There exists w such that for all x, Q(w) iff M(w,x)."
978,"Exists(x, And(T(x), P(x)))",There exists x such that T(x) and P(x).
979,"Exists(v, ForAll(x, Equivalent(R(v), N(v,x))))","There exists v such that for all x, R(v) iff N(v,x)."
980,"ForAll(z, Or(T(z), Exists(u, R(u))))","For all z, either T(z) or there exists u such that R(u)."
981,"ForAll(u, Implies(Q(u), Or(V(u), P(u))))","For all u, if Q(u) then V(u) or P(u)."
982,"ForAll(w, Implies(T(w), R(w)))","For all w, if T(w) then R(w)."
983,"ForAll(x, Implies(R(x), Exists(w, M(x,w))))","For all x, if R(x) then there exists w such that M(x,w)."
984,"ForAll(z, Implies(R(z), Exists(y, O(z,y))))","For all z, if R(z) then there exists y such that O(z,y)."
985,"ForAll(z, Implies(Exists(v, L(z,v)), V(z)))","For all z, if there exists v with L(z,v) then V(z)."
986,"ForAll(x, Implies(V(x), Exists(u, O(x,u))))","For all x, if V(x) then there exists u such that O(x,u)."
987,"Exists(x, Exists(u, Exists(z, And(N(x,u), N(u,z)))))","There exist x, u, and z such that N(x,u) and N(u,z)."
988,"Exists(x, Exists(u, Exists(y, And(L(x,u), L(u,y)))))","There exist x, u, and y such that L(x,u) and L(u,y)."
989,"ForAll(u, Equivalent(P(u), P(u)))","For all u, P(u) if and only if P(u)."
990,"Exists(v, Exists(z, Exists(u, And(L(v,z), L(z,u)))))","There exist v, z, and u such that L(v,z) and L(z,u)."
991,"ForAll(u, Implies(U(u), Or(U(u), V(u))))","For all u, if U(u) then U(u) or V(u)."
992,"Exists(y, Exists(v, And(L(y,v), Q(y))))","There exist y and v such that L(y,v) and Q(y)."
993,"ForAll(w, Or(Not(R(w)), V(w)))","For all w, either not R(w) or V(w)."
994,"Exists(x, Implies(P(x), ForAll(y, Q(y))))","There exists x such that if P(x) then for all y, Q(y)."
995,"Exists(v, Not(T(v)))",There exists v such that not T(v).
996,"Exists(y, And(Not(V(y)), Exists(x, N(y,x))))","There exists y such that not V(y) and there exists x with N(y,x)."
997,"ForAll(y, Implies(And(V(y), U(y)), U(y)))","For all y, if V(y) and U(y) then U(y)."
998,"ForAll(u, Equivalent(V(u), V(u)))","For all u, V(u) if and only if V(u)."
999,"Exists(v, ForAll(u, Equivalent(V(v), O(v,u))))","There exists v such that for all u, V(v) iff O(v,u)."
1000,"ForAll(y, Exists(x, N(y,x)))","For all y, there exists x such that N(y,x)."
1001,"Exists(z, ForAll(y, Implies(N(z,y), U(y))))","There exists z such that for all y, if N(z,y) then U(y)."
1002,"Exists(u, ForAll(x, Equivalent(T(u), O(u,x))))","There exists u such that for all x, T(u) iff O(u,x)."
1003,"ForAll(u, Implies(And(Q(u), U(u)), S(u)))","For all u, if Q(u) and U(u) then S(u)."
1004,"Exists(u, And(Not(U(u)), Exists(w, L(u,w))))","There exists u such that not U(u) and there exists w with L(u,w)."
1005,"ForAll(y, Implies(T(y), Or(U(y), R(y))))","For all y, if T(y) then U(y) or R(y)."
1006,"ForAll(u, Or(S(u), Exists(x, S(x))))","For all u, either S(u) or there exists x such that S(x)."
1007,"Exists(v, ForAll(w, Implies(O(v,w), T(w))))","There exists v such that for all w, if O(v,w) then T(w)."
1008,"ForAll(y, Equivalent(S(y), U(y)))","For all y, S(y) if and only if U(y)."
1009,"ForAll(z, ForAll(u, Implies(N(z,u), N(u,z))))","For all z and u, if N(z,u) then N(u,z)."
1010,"Exists(x, Implies(P(x), ForAll(u, V(u))))","There exists x such that if P(x) then for all u, V(u)."
1011,"Exists(v, And(Not(U(v)), Exists(w, O(v,w))))","There exists v such that not U(v) and there exists w with O(v,w)."
1012,"Exists(z, Exists(w, Exists(x, And(M(z,w), M(w,x)))))","There exist z, w, and x such that M(z,w) and M(w,x)."
1013,"Exists(x, And(Not(V(x)), Exists(z, L(x,z))))","There exists x such that not V(x) and there exists z with L(x,z)."
1014,"Exists(y, Exists(v, And(O(y,v), U(y))))","There exist y and v such that O(y,v) and U(y)."
1015,"ForAll(w, Implies(Exists(v, M(w,v)), R(w)))","For all w, if there exists v with M(w,v) then R(w)."
1016,"ForAll(u, Implies(V(u), Or(R(u), V(u))))","For all u, if V(u) then R(u) or V(u)."
1017,"Exists(u, ForAll(x, Implies(O(u,x), S(x))))","There exists u such that for all x, if O(u,x) then S(x)."
1018,"ForAll(z, Equivalent(V(z), R(z)))","For all z, V(z) if and only if R(z)."
1019,"Exists(z, Exists(x, Exists(v, And(M(z,x), M(x,v)))))","There exist z, x, and v such that M(z,x) and M(x,v)."
1020,"ForAll(u, Implies(S(u), U(u)))","For all u, if S(u) then U(u)."
1021,"ForAll(w, Implies(S(w), And(R(w), U(w))))","For all w, if S(w) then R(w) and U(w)."
1022,"Exists(x, ForAll(v, Equivalent(T(x), L(x,v))))","There exists x such that for all v, T(x) iff L(x,v)."
1023,"Exists(v, Exists(x, Exists(z, And(O(v,x), O(x,z)))))","There exist v, x, and z such that O(v,x) and O(x,z)."
1024,"Exists(x, ForAll(y, Equivalent(R(x), O(x,y))))","There exists x such that for all y, R(x) iff O(x,y)."
1025,"Exists(v, Exists(u, And(L(v,u), V(v))))","There exist v and u such that L(v,u) and V(v)."
1026,"Exists(y, ForAll(v, Equivalent(U(y), O(y,v))))","There exists y such that for all v, U(y) iff O(y,v)."
1027,"ForAll(z, Implies(R(z), Exists(y, L(z,y))))","For all z, if R(z) then there exists y such that L(z,y)."
1028,"Exists(u, Not(P(u)))",There exists u such that not P(u).
1029,"ForAll(y, Implies(R(y), And(Q(y), V(y))))","For all y, if R(y) then Q(y) and V(y)."
1030,"Exists(w, ForAll(v, Equivalent(S(w), O(w,v))))","There exists w such that for all v, S(w) iff O(w,v)."
1031,"ForAll(u, Exists(y, O(u,y)))","For all u, there exists y such that O(u,y)."
1032,"ForAll(v, Implies(Exists(y, O(v,y)), V(v)))","For all v, if there exists y with O(v,y) then V(v)."
1033,"ForAll(x, Equivalent(U(x), R(x)))","For all x, U(x) if and only if R(x)."
1034,"Exists(x, ForAll(w, Implies(L(x,w), Q(w))))","There exists x such that for all w, if L(x,w) then Q(w)."
1035,"ForAll(u, Implies(V(u), Exists(z, O(u,z))))","For all u, if V(u) then there exists z such that O(u,z)."
1036,"ForAll(x, ForAll(v, Implies(L(x,v), L(v,x))))","For all x and v, if L(x,v) then L(v,x)."
1037,"Exists(z, Implies(T(z), ForAll(w, T(w))))","There exists z such that if T(z) then for all w, T(w)."
1038,"Exists(v, ForAll(y, Implies(N(v,y), P(y))))","There exists v such that for all y, if N(v,y) then P(y)."
1039,"ForAll(y, Exists(u, M(y,u)))","For all y, there exists u such that M(y,u)."
1040,"Exists(w, Implies(P(w), ForAll(y, U(y))))","There exists w such that if P(w) then for all y, U(y)."
1041,"ForAll(w, Implies(P(w), U(w)))","For all w, if P(w) then U(w)."
1042,"Exists(u, Exists(x, Exists(w, And(M(u,x), M(x,w)))))","There exist u, x, and w such that M(u,x) and M(x,w)."
1043,"Exists(v, ForAll(x, Implies(M(v,x), V(x))))","There exists v such that for all x, if M(v,x) then V(x)."
1044,"ForAll(x, Implies(R(x), Exists(y, N(x,y))))","For all x, if R(x) then there exists y such that N(x,y)."
1045,"Exists(u, And(Q(u), T(u)))",There exists u such that Q(u) and T(u).
1046,"ForAll(y, Or(Not(S(y)), U(y)))","For all y, either not S(y) or U(y)."
1047,"ForAll(w, Exists(y, M(w,y)))","For all w, there exists y such that M(w,y)."
1048,"Exists(y, Exists(v, Exists(x, And(M(y,v), M(v,x)))))","There exist y, v, and x such that M(y,v) and M(v,x)."
1049,"ForAll(w, ForAll(z, Implies(L(w,z), L(z,w))))","For all w and z, if L(w,z) then L(z,w)."
1050,"ForAll(x, Implies(R(x), Or(V(x), R(x))))","For all x, if R(x) then V(x) or R(x)."
1051,"Exists(z, And(Q(z), R(z)))",There exists z such that Q(z) and R(z).
1052,"ForAll(v, Implies(Exists(y, L(v,y)), P(v)))","For all v, if there exists y with L(v,y) then P(v)."
1053,"Exists(x, And(S(x), U(x)))",There exists x such that S(x) and U(x).
1054,"Exists(z, And(Not(V(z)), Exists(u, L(z,u))))","There exists z such that not V(z) and there exists u with L(z,u)."
1055,"Exists(z, Exists(y, Exists(w, And(O(z,y), O(y,w)))))","There exist z, y, and w such that O(z,y) and O(y,w)."
1056,"ForAll(z, Implies(And(Q(z), T(z)), R(z)))","For all z, if Q(z) and T(z) then R(z)."
1057,"ForAll(y, Implies(Q(y), Or(V(y), P(y))))","For all y, if Q(y) then V(y) or P(y)."
1058,"Exists(u, Implies(T(u), ForAll(y, U(y))))","There exists u such that if T(u) then for all y, U(y)."
1059,"ForAll(u, Implies(Q(u), U(u)))","For all u, if Q(u) then U(u)."
1060,"Exists(y, And(Not(Q(y)), Exists(z, L(y,z))))","There exists y such that not Q(y) and there exists z with L(y,z)."
1061,"Exists(u, Not(U(u)))",There exists u such that not U(u).
1062,"ForAll(u, ForAll(z, Implies(M(u,z), M(z,u))))","For all u and z, if M(u,z) then M(z,u)."
1063,"Exists(y, And(Not(S(y)), Exists(x, O(y,x))))","There exists y such that not S(y) and there exists x with O(y,x)."
1064,"ForAll(w, Exists(u, O(w,u)))","For all w, there exists u such that O(w,u)."
1065,"Exists(w, Exists(u, And(O(w,u), U(w))))","There exist w and u such that O(w,u) and U(w)."
1066,"ForAll(v, ForAll(y, Implies(M(v,y), M(y,v))))","For all v and y, if M(v,y) then M(y,v)."
1067,"Exists(z, Exists(v, And(L(z,v), R(z))))","There exist z and v such that L(z,v) and R(z)."
1068,"ForAll(y, Equivalent(Q(y), T(y)))","For all y, Q(y) if and only if T(y)."
1069,"Exists(x, And(Not(V(x)), Exists(w, L(x,w))))","There exists x such that not V(x) and there exists w with L(x,w)."
1070,"Exists(w, ForAll(y, Implies(O(w,y), T(y))))","There exists w such that for all y, if O(w,y) then T(y)."
1071,"Exists(z, Exists(y, And(O(z,y), Q(z))))","There exist z and y such that O(z,y) and Q(z)."
1072,"Exists(y, Not(V(y)))",There exists y such that not V(y).
1073,"ForAll(z, Equivalent(T(z), T(z)))","For all z, T(z) if and only if T(z)."
1074,"Exists(z, And(Not(P(z)), Exists(w, O(z,w))))","There exists z such that not P(z) and there exists w with O(z,w)."
1075,"ForAll(v, Implies(U(v), And(V(v), V(v))))","For all v, if U(v) then V(v) and V(v)."
1076,"Exists(w, ForAll(x, Equivalent(V(w), O(w,x))))","There exists w such that for all x, V(w) iff O(w,x)."
1077,"Exists(w, And(Not(Q(w)), Exists(z, M(w,z))))","There exists w such that not Q(w) and there exists z with M(w,z)."
1078,"ForAll(y, Exists(z, N(y,z)))","For all y, there exists z such that N(y,z)."
1079,"ForAll(z, Equivalent(V(z), Q(z)))","For all z, V(z) if and only if Q(z)."
1080,"ForAll(w, Implies(Exists(v, O(w,v)), P(w)))","For all w, if there exists v with O(w,v) then P(w)."
1081,"ForAll(y, Implies(P(y), Exists(v, O(y,v))))","For all y, if P(y) then there exists v such that O(y,v)."
1082,"ForAll(u, Or(Not(P(u)), V(u)))","For all u, either not P(u) or V(u)."
1083,"ForAll(w, ForAll(u, Implies(M(w,u), M(u,w))))","For all w and u, if M(w,u) then M(u,w)."
1084,"ForAll(u, Equivalent(P(u), T(u)))","For all u, P(u) if and only if T(u)."
1085,"Exists(z, Exists(x, Exists(v, And(L(z,x), L(x,v)))))","There exist z, x, and v such that L(z,x) and L(x,v)."
1086,"ForAll(y, Implies(P(y), Or(Q(y), S(y))))","For all y, if P(y) then Q(y) or S(y)."
1087,"ForAll(v, Implies(Exists(u, M(v,u)), T(v)))","For all v, if there exists u with M(v,u) then T(v)."
1088,"Exists(x, Exists(z, Exists(w, And(M(x,z), M(z,w)))))","There exist x, z, and w such that M(x,z) and M(z,w)."
1089,"Exists(y, And(Q(y), V(y)))",There exists y such that Q(y) and V(y).
1090,"ForAll(y, Implies(U(y), And(V(y), U(y))))","For all y, if U(y) then V(y) and U(y)."
1091,"Exists(u, Exists(w, Exists(v, And(M(u,w), M(w,v)))))","There exist u, w, and v such that M(u,w) and M(w,v)."
1092,"ForAll(z, Or(Not(S(z)), U(z)))","For all z, either not S(z) or U(z)."
1093,"Exists(v, Exists(z, And(M(v,z), Q(v))))","There exist v and z such that M(v,z) and Q(v)."
1094,"ForAll(u, Equivalent(V(u), S(u)))","For all u, V(u) if and only if S(u)."
1095,"Exists(x, And(Not(U(x)), Exists(u, N(x,u))))","There exists x such that not U(x) and there exists u with N(x,u)."
1096,"ForAll(w, Implies(Q(w), Or(T(w), V(w))))","For all w, if Q(w) then T(w) or V(w)."
1097,"ForAll(v, Implies(S(v), Exists(x, L(v,x))))","For all v, if S(v) then there exists x such that L(v,x)."
1098,"Exists(w, ForAll(v, Equivalent(V(w), O(w,v))))","There exists w such that for all v, V(w) iff O(w,v)."
1099,"ForAll(u, Implies(R(u), And(V(u), P(u))))","For all u, if R(u) then V(u) and P(u)."
1100,"Exists(v, Exists(w, Exists(u, And(L(v,w), L(w,u)))))","There exist v, w, and u such that L(v,w) and L(w,u)."
1101,"ForAll(y, Implies(Exists(v, N(y,v)), U(y)))","For all y, if there exists v with N(y,v) then U(y)."
1102,"ForAll(x, Implies(R(x), Q(x)))","For all x, if R(x) then Q(x)."
1103,"Exists(y, And(R(y), T(y)))",There exists y such that R(y) and T(y).
1104,"Exists(x, Implies(S(x), ForAll(v, T(v))))","There exists x such that if S(x) then for all v, T(v)."
1105,"ForAll(v, Implies(And(P(v), R(v)), P(v)))","For all v, if P(v) and R(v) then P(v)."
1106,"ForAll(v, ForAll(w, Implies(O(v,w), O(w,v))))","For all v and w, if O(v,w) then O(w,v)."
1107,"ForAll(u, Implies(R(u), Or(S(u), T(u))))","For all u, if R(u) then S(u) or T(u)."
1108,"Exists(u, Exists(w, Exists(z, And(O(u,w), O(w,z)))))","There exist u, w, and z such that O(u,w) and O(w,z)."
1109,"ForAll(w, Exists(x, O(w,x)))","For all w, there exists x such that O(w,x)."
1110,"ForAll(u, Implies(Exists(y, L(u,y)), R(u)))","For all u, if there exists y with L(u,y) then R(u)."
1111,"ForAll(x, Or(Not(V(x)), V(x)))","For all x, either not V(x) or V(x)."
1112,"Exists(w, Exists(v, Exists(z, And(O(w,v), O(v,z)))))","There exist w, v, and z such that O(w,v) and O(v,z)."
1113,"ForAll(u, Exists(v, L(u,v)))","For all u, there exists v such that L(u,v)."
1114,"Exists(w, Exists(y, Exists(u, And(M(w,y), M(y,u)))))","There exist w, y, and u such that M(w,y) and M(y,u)."
1115,"ForAll(u, Implies(And(R(u), V(u)), P(u)))","For all u, if R(u) and V(u) then P(u)."
1116,"ForAll(w, ForAll(z, Implies(N(w,z), N(z,w))))","For all w and z, if N(w,z) then N(z,w)."
1117,"ForAll(y, Implies(U(y), P(y)))","For all y, if U(y) then P(y)."
1118,"Exists(u, Exists(x, Exists(z, And(O(u,x), O(x,z)))))","There exist u, x, and z such that O(u,x) and O(x,z)."
1119,"Exists(u, Implies(T(u), ForAll(x, P(x))))","There exists u such that if T(u) then for all x, P(x)."
1120,"ForAll(w, Implies(And(V(w), U(w)), V(w)))","For all w, if V(w) and U(w) then V(w)."
1121,"ForAll(u, Implies(Q(u), T(u)))","For all u, if Q(u) then T(u)."
1122,"ForAll(x, Or(Not(U(x)), U(x)))","For all x, either not U(x) or U(x)."
1123,"Exists(x, Exists(y, And(L(x,y), V(x))))","There exist x and y such that L(x,y) and V(x)."
1124,"ForAll(x, Or(Q(x), Exists(z, U(z))))","For all x, either Q(x) or there exists z such that U(z)."
1125,"Exists(y, ForAll(w, Equivalent(U(y), N(y,w))))","There exists y such that for all w, U(y) iff N(y,w)."
1126,"ForAll(w, Or(Not(U(w)), R(w)))","For all w, either not U(w) or R(w)."
1127,"ForAll(v, Implies(Q(v), Or(S(v), S(v))))","For all v, if Q(v) then S(v) or S(v)."
1128,"ForAll(w, Or(Not(R(w)), U(w)))","For all w, either not R(w) or U(w)."
1129,"Exists(u, Exists(x, And(L(u,x), S(u))))","There exist u and x such that L(u,x) and S(u)."
1130,"ForAll(x, Or(T(x), Exists(y, P(y))))","For all x, either T(x) or there exists y such that P(y)."
1131,"ForAll(x, Implies(Q(x), Or(Q(x), V(x))))","For all x, if Q(x) then Q(x) or V(x)."
1132,"ForAll(x, Or(Not(S(x)), V(x)))","For all x, either not S(x) or V(x)."
1133,"Exists(z, Implies(Q(z), ForAll(y, V(y))))","There exists z such that if Q(z) then for all y, V(y)."
1134,"ForAll(y, Or(U(y), Exists(v, U(v))))","For all y, either U(y) or there exists v such that U(v)."
1135,"Exists(z, Implies(S(z), ForAll(y, R(y))))","There exists z such that if S(z) then for all y, R(y)."
1136,"ForAll(w, Equivalent(U(w), R(w)))","For all w, U(w) if and only if R(w)."
1137,"Exists(x, Exists(z, And(N(x,z), R(x))))","There exist x and z such that N(x,z) and R(x)."
1138,"ForAll(u, Implies(R(u), Or(P(u), Q(u))))","For all u, if R(u) then P(u) or Q(u)."
1139,"Exists(y, ForAll(x, Equivalent(T(y), L(y,x))))","There exists y such that for all x, T(y) iff L(y,x)."
1140,"Exists(z, ForAll(w, Equivalent(P(z), O(z,w))))","There exists z such that for all w, P(z) iff O(z,w)."
1141,"ForAll(z, Implies(T(z), Exists(x, L(z,x))))","For all z, if T(z) then there exists x such that L(z,x)."
1142,"ForAll(v, Or(Not(Q(v)), T(v)))","For all v, either not Q(v) or T(v)."
1143,"ForAll(v, Implies(Q(v), Exists(u, L(v,u))))","For all v, if Q(v) then there exists u such that L(v,u)."
1144,"Exists(y, Exists(u, And(N(y,u), S(y))))","There exist y and u such that N(y,u) and S(y)."
1145,"ForAll(v, Implies(Q(v), R(v)))","For all v, if Q(v) then R(v)."
1146,"ForAll(z, Equivalent(V(z), P(z)))","For all z, V(z) if and only if P(z)."
1147,"ForAll(y, Or(Not(P(y)), R(y)))","For all y, either not P(y) or R(y)."
1148,"ForAll(z, Or(Not(S(z)), S(z)))","For all z, either not S(z) or S(z)."
1149,"Exists(u, Implies(T(u), ForAll(z, S(z))))","There exists u such that if T(u) then for all z, S(z)."
1150,"Exists(x, Implies(R(x), ForAll(v, S(v))))","There exists x such that if R(x) then for all v, S(v)."
1151,"ForAll(v, Or(Q(v), Exists(y, Q(y))))","For all v, either Q(v) or there exists y such that Q(y)."
1152,"ForAll(y, Equivalent(V(y), R(y)))","For all y, V(y) if and only if R(y)."
1153,"Exists(v, And(Not(R(v)), Exists(w, O(v,w))))","There exists v such that not R(v) and there exists w with O(v,w)."
1154,"Exists(u, Exists(w, Exists(x, And(M(u,w), M(w,x)))))","There exist u, w, and x such that M(u,w) and M(w,x)."
1155,"ForAll(y, Or(Not(P(y)), S(y)))","For all y, either not P(y) or S(y)."
1156,"ForAll(z, Or(Not(U(z)), U(z)))","For all z, either not U(z) or U(z)."
1157,"ForAll(x, Implies(V(x), And(V(x), Q(x))))","For all x, if V(x) then V(x) and Q(x)."
1158,"Exists(y, And(Not(R(y)), Exists(z, M(y,z))))","There exists y such that not R(y) and there exists z with M(y,z)."
1159,"Exists(w, ForAll(u, Implies(N(w,u), S(u))))","There exists w such that for all u, if N(w,u) then S(u)."
1160,"ForAll(w, Implies(R(w), Exists(x, L(w,x))))","For all w, if R(w) then there exists x such that L(w,x)."
1161,"ForAll(v, Implies(S(v), And(U(v), Q(v))))","For all v, if S(v) then U(v) and Q(v)."
1162,"Exists(z, And(Not(Q(z)), Exists(y, O(z,y))))","There exists z such that not Q(z) and there exists y with O(z,y)."
1163,"Exists(v, Exists(x, And(M(v,x), R(v))))","There exist v and x such that M(v,x) and R(v)."
1164,"Exists(x, ForAll(u, Implies(N(x,u), V(u))))","There exists x such that for all u, if N(x,u) then V(u)."
1165,"ForAll(x, Implies(T(x), And(V(x), P(x))))","For all x, if T(x) then V(x) and P(x)."
1166,"ForAll(v, Implies(U(v), And(V(v), T(v))))","For all v, if U(v) then V(v) and T(v)."
1167,"Exists(x, And(Not(S(x)), Exists(u, L(x,u))))","There exists x such that not S(x) and there exists u with L(x,u)."
1168,"ForAll(z, Or(Not(U(z)), S(z)))","For all z, either not U(z) or S(z)."
1169,"ForAll(u, Implies(Exists(w, M(u,w)), U(u)))","For all u, if there exists w with M(u,w) then U(u)."
1170,"ForAll(u, Implies(Exists(z, N(u,z)), V(u)))","For all u, if there exists z with N(u,z) then V(u)."
1171,"Exists(z, ForAll(y, Implies(O(z,y), U(y))))","There exists z such that for all y, if O(z,y) then U(y)."
1172,"ForAll(u, Implies(P(u), And(V(u), P(u))))","For all u, if P(u) then V(u) and P(u)."
1173,"Exists(x, Exists(z, And(M(x,z), Q(x))))","There exist x and z such that M(x,z) and Q(x)."
1174,"Exists(w, Implies(Q(w), ForAll(v, P(v))))","There exists w such that if Q(w) then for all v, P(v)."
1175,"ForAll(z, Implies(Q(z), Exists(u, L(z,u))))","For all z, if Q(z) then there exists u such that L(z,u)."
1176,"Exists(y, Exists(w, And(L(y,w), U(y))))","There exist y and w such that L(y,w) and U(y)."
1177,"Exists(z, Exists(y, Exists(x, And(O(z,y), O(y,x)))))","There exist z, y, and x such that O(z,y) and O(y,x)."
1178,"ForAll(v, Implies(V(v), Or(V(v), T(v))))","For all v, if V(v) then V(v) or T(v)."
1179,"Exists(y, And(Not(P(y)), Exists(x, M(y,x))))","There exists y such that not P(y) and there exists x with M(y,x)."
1180,"Exists(v, And(Not(R(v)), Exists(x, O(v,x))))","There exists v such that not R(v) and there exists x with O(v,x)."
1181,"Exists(w, ForAll(z, Implies(M(w,z), U(z))))","There exists w such that for all z, if M(w,z) then U(z)."
1182,"Exists(v, Implies(U(v), ForAll(y, P(y))))","There exists v such that if U(v) then for all y, P(y)."
1183,"ForAll(u, Or(S(u), Exists(v, V(v))))","For all u, either S(u) or there exists v such that V(v)."
1184,"ForAll(y, Implies(T(y), Exists(z, N(y,z))))","For all y, if T(y) then there exists z such that N(y,z)."
1185,"ForAll(v, Equivalent(S(v), S(v)))","For all v, S(v) if and only if S(v)."
1186,"ForAll(z, Or(Not(V(z)), U(z)))","For all z, either not V(z) or U(z)."
1187,"Exists(x, Exists(v, Exists(u, And(M(x,v), M(v,u)))))","There exist x, v, and u such that M(x,v) and M(v,u)."
1188,"Exists(v, Exists(x, And(O(v,x), Q(v))))","There exist v and x such that O(v,x) and Q(v)."
1189,"ForAll(y, Or(Not(Q(y)), V(y)))","For all y, either not Q(y) or V(y)."
1190,"Exists(w, Exists(z, And(O(w,z), P(w))))","There exist w and z such that O(w,z) and P(w)."
1191,"ForAll(y, Or(P(y), Exists(z, P(z))))","For all y, either P(y) or there exists z such that P(z)."
1192,"ForAll(x, Implies(Exists(z, N(x,z)), S(x)))","For all x, if there exists z with N(x,z) then S(x)."
1193,"ForAll(x, Implies(V(x), T(x)))","For all x, if V(x) then T(x)."
1194,"ForAll(v, ForAll(w, Implies(L(v,w), L(w,v))))","For all v and w, if L(v,w) then L(w,v)."
1195,"ForAll(y, Exists(x, L(y,x)))","For all y, there exists x such that L(y,x)."
1196,"ForAll(z, Or(U(z), Exists(w, P(w))))","For all z, either U(z) or there exists w such that P(w)."
1197,"Exists(y, Exists(z, And(M(y,z), Q(y))))","There exist y and z such that M(y,z) and Q(y)."
1198,"ForAll(y, Exists(v, M(y,v)))","For all y, there exists v such that M(y,v)."
1199,"ForAll(x, Equivalent(V(x), V(x)))","For all x, V(x) if and only if V(x)."
1200,"Exists(z, Implies(T(z), ForAll(u, T(u))))","There exists z such that if T(z) then for all u, T(u)."
1201,"ForAll(w, Or(S(w), Exists(z, U(z))))","For all w, either S(w) or there exists z such that U(z)."
1202,"ForAll(x, Implies(Q(x), Or(R(x), R(x))))","For all x, if Q(x) then R(x) or R(x)."
1203,"Exists(w, Implies(Q(w), ForAll(z, R(z))))","There exists w such that if Q(w) then for all z, R(z)."
1204,"ForAll(x, Implies(T(x), Or(Q(x), S(x))))","For all x, if T(x) then Q(x) or S(x)."
1205,"Exists(w, Implies(R(w), ForAll(x, T(x))))","There exists w such that if R(w) then for all x, T(x)."
1206,"ForAll(w, Or(Not(U(w)), Q(w)))","For all w, either not U(w) or Q(w)."
1207,"ForAll(z, Or(Not(Q(z)), S(z)))","For all z, either not Q(z) or S(z)."
1208,"Exists(w, ForAll(x, Equivalent(U(w), M(w,x))))","There exists w such that for all x, U(w) iff M(w,x)."
1209,"ForAll(x, Implies(Q(x), And(V(x), U(x))))","For all x, if Q(x) then V(x) and U(x)."
1210,"ForAll(u, Or(V(u), Exists(w, U(w))))","For all u, either V(u) or there exists w such that U(w)."
1211,"Exists(w, And(U(w), R(w)))",There exists w such that U(w) and R(w).
1212,"ForAll(x, Exists(y, M(x,y)))","For all x, there exists y such that M(x,y)."
1213,"ForAll(y, Or(T(y), Exists(w, P(w))))","For all y, either T(y) or there exists w such that P(w)."
1214,"ForAll(x, Implies(U(x), Or(V(x), R(x))))","For all x, if U(x) then V(x) or R(x)."
1215,"ForAll(z, Implies(And(V(z), U(z)), V(z)))","For all z, if V(z) and U(z) then V(z)."
1216,"ForAll(z, Implies(Exists(u, M(z,u)), Q(z)))","For all z, if there exists u with M(z,u) then Q(z)."
1217,"Exists(w, ForAll(x, Equivalent(Q(w), N(w,x))))","There exists w such that for all x, Q(w) iff N(w,x)."
1218,"Exists(v, And(Not(P(v)), Exists(x, N(v,x))))","There exists v such that not P(v) and there exists x with N(v,x)."
1219,"ForAll(x, Exists(v, N(x,v)))","For all x, there exists v such that N(x,v)."
