expression,english_description
"∀u (Cat(u) → Subset(h(v),h(z)))","For every u, if u is a cat, then h(v) is a subset of h(z)"
Dog(g(w)),G(w) is a dog
"Likes(b,w)",B likes w
"(Likes(f(h(g(v))),w) ↔ (∃z Likes(f(x),u) ↔ (ParentOf(v,g(z)) → Knows(z,y))))","F(h(g(v))) likes w if and only if There exists z, f(x) likes u if and only if if v is a parent of g(z), then z knows y"
"Subset(2,v)",2 is a subset of v
"¬(z = g(x) ∧ (Subset(g(w),b) ∨ Loves(2,f(y))))",It is not the case that z equals g(x) and g(w) is a subset of b or 2 loves f(y)
"(Loves(z,g(z)) ∧ (∀z b = x → ∃u Greater(h(w),v)))","Z loves g(z) and if For every z, b equals x, then There exists u, h(w) is greater than v"
(∃v 0 = v ↔ ¬(Odd(x) ↔ Animal(w))),"There exists v, 0 equals v if and only if It is not the case that x is odd if and only if w is an animal"
∃u ¬Mortal(v),"There exists u, It is not the case that v is mortal"
0 = u,0 equals u
"((Knows(z,z) → ParentOf(u,g(x))) ↔ ∃z (Human(z) ∧ ∃u Knows(0,w)))","If z knows z, then u is a parent of g(x) if and only if There exists z such that z is a human and There exists u, 0 knows w"
"(¬Subset(f(w),x) ↔ ∀z Knows(g(z),u))","It is not the case that f(w) is a subset of x if and only if For every z, g(z) knows u"
"Member(z,2)",Z is a member of 2
"(∃w (Animal(w) ∧ ∃y (Dog(y) ∧ c = f(y))) ↔ Friend(v,v))",There exists w such that w is an animal and There exists y such that y is a dog and c equals f(y) if and only if v is a friend of v
"Greater(f(w),g(u))",F(w) is greater than g(u)
"(¬∃z (Professor(z) ∧ Greater(z,u)) → (Member(z,u) ∧ (y = g(x) ↔ Friend(y,x))))","If It is not the case that There exists z such that z is a professor and z is greater than u, then z is a member of u and y equals g(x) if and only if y is a friend of x"
(Human(x) ∧ w = w),X is a human and w equals w
∀z 2 = c,"For every z, 2 equals c"
"Greater(z,x)",Z is greater than x
"(∀x (Dog(x) → ¬y = h(w)) ↔ ((Friend(z,h(w)) ↔ Greater(h(u),w)) ∨ Less(y,w)))","For every x, if x is a dog, then It is not the case that y equals h(w) if and only if z is a friend of h(w) if and only if h(u) is greater than w or y is less than w"
¬∃v (Student(v) ∧ (Animal(u) ∨ Cat(2))),It is not the case that There exists v such that v is a student and u is an animal or 2 is a cat
"Subset(b,2)",B is a subset of 2
"∀v (Professor(v) → ∀u (Even(u) → (Loves(x,w) ∧ Knows(v,g(g(y))))))","For every v, if v is a professor, then For every u, if u is even, then x loves w and v knows g(g(y))"
x = x,X equals x
¬(¬g(a) = u ∧ Mortal(y)),It is not the case that It is not the case that g(a) equals u and y is mortal
¬w = 2,It is not the case that w equals 2
(Prime(g(x)) ∧ g(v) = w),G(x) is prime and g(v) equals w
"Knows(f(w),f(u))",F(w) knows f(u)
Student(g(a)),G(a) is a student
"∀x (Odd(x) → ¬∃z (Dog(z) ∧ Loves(c,2)))","For every x, if x is odd, then It is not the case that There exists z such that z is a dog and c loves 2"
¬∃w ∃u Dog(v),"It is not the case that There exists w, There exists u, v is a dog"
(Odd(x) → ∀z ∃y (Even(y) ∧ v = a)),"If x is odd, then For every z, There exists y such that y is even and v equals a"
"¬Less(u,y)",It is not the case that u is less than y
∃u z = z,"There exists u, z equals z"
(∃w (Human(w) ∧ ¬Dog(f(v))) ∧ ∃u (Mortal(u) ∧ (Prime(2) ∧ Human(u)))),There exists w such that w is a human and It is not the case that f(v) is a dog and There exists u such that u is mortal and 2 is prime and u is a human
"ParentOf(v,w)",V is a parent of w
"((¬u = g(g(0)) → Member(f(u),b)) ∨ ((Human(u) ∨ w = y) → Human(h(x))))","If It is not the case that u equals g(g(0)), then f(u) is a member of b or if u is a human or w equals y, then h(x) is a human"
"¬(Greater(f(w),b) ∧ ¬Greater(2,g(v)))",It is not the case that f(w) is greater than b and It is not the case that 2 is greater than g(v)
Prime(f(u)),F(u) is prime
"¬Likes(0,0)",It is not the case that 0 likes 0
"Knows(v,x)",V knows x
"∃x (Prime(x) ∧ Less(0,h(f(u))))",There exists x such that x is prime and 0 is less than h(f(u))
"∃x (Cat(x) ∧ Subset(h(u),h(w)))",There exists x such that x is a cat and h(u) is a subset of h(w)
"∀x (ParentOf(h(x),x) ↔ Equal(v,2))","For every x, h(x) is a parent of x if and only if v is equal to 2"
"(¬∀z (Mortal(z) → Less(b,u)) → Friend(g(y),x))","If It is not the case that For every z, if z is mortal, then b is less than u, then g(y) is a friend of x"
"∀x ∀u (Even(u) → Member(u,u))","For every x, For every u, if u is even, then u is a member of u"
∃u (Dog(u) ∧ 1 = z),There exists u such that u is a dog and 1 equals z
¬Even(0),It is not the case that 0 is even
"∀z (Dog(z) → Loves(h(c),c))","For every z, if z is a dog, then h(c) loves c"
"Likes(w,g(z))",W likes g(z)
"ParentOf(y,w)",Y is a parent of w
∀u (Mortal(u) → Mortal(v)),"For every u, if u is mortal, then v is mortal"
¬g(u) = g(x),It is not the case that g(u) equals g(x)
"∀u (Animal(u) → ¬∃y (Cat(y) ∧ Knows(g(x),v)))","For every u, if u is an animal, then It is not the case that There exists y such that y is a cat and g(x) knows v"
"(Member(v,0) ∨ ¬¬Animal(y))",V is a member of 0 or It is not the case that It is not the case that y is an animal
"∀u (Human(u) → Member(g(z),u))","For every u, if u is a human, then g(z) is a member of u"
"∃u (Odd(u) ∧ ∀y (Human(y) → ∀u (Human(u) → Friend(x,a))))","There exists u such that u is odd and For every y, if y is a human, then For every u, if u is a human, then x is a friend of a"
"¬(∀y (Mortal(y) → Equal(g(w),w)) ∨ (Prime(g(v)) → Friend(x,y)))","It is not the case that For every y, if y is mortal, then g(w) is equal to w or if g(v) is prime, then x is a friend of y"
(Student(1) ↔ Mortal(0)),1 is a student if and only if 0 is mortal
1 = v,1 equals v
"(((Mortal(z) ↔ ParentOf(z,2)) ∧ (Animal(v) → Prime(0))) ↔ Subset(c,x))","Z is mortal if and only if z is a parent of 2 and if v is an animal, then 0 is prime if and only if c is a subset of x"
"¬(ParentOf(y,v) ∧ ¬Dog(w))",It is not the case that y is a parent of v and It is not the case that w is a dog
"¬((Cat(x) ↔ Subset(x,v)) → ¬Subset(2,g(x)))","It is not the case that if x is a cat if and only if x is a subset of v, then It is not the case that 2 is a subset of g(x)"
"(¬∃v Professor(z) ∧ Equal(v,v))","It is not the case that There exists v, z is a professor and v is equal to v"
"¬(¬Cat(v) ∨ Member(v,b))",It is not the case that It is not the case that v is a cat or v is a member of b
∃w ¬∃u Prime(f(z)),"There exists w, It is not the case that There exists u, f(z) is prime"
"¬¬¬Friend(u,z)",It is not the case that It is not the case that It is not the case that u is a friend of z
(∀v Student(v) ∨ (∃z (Cat(z) ∧ Human(v)) → ¬Cat(h(x)))),"For every v, v is a student or if There exists z such that z is a cat and v is a human, then It is not the case that h(x) is a cat"
¬(∃w Animal(u) ∧ ∃u (Student(u) ∧ w = 2)),"It is not the case that There exists w, u is an animal and There exists u such that u is a student and w equals 2"
∀x (Cat(x) → x = y),"For every x, if x is a cat, then x equals y"
∃z (Mortal(z) ∧ ∀u (Prime(u) → ∀x Even(c))),"There exists z such that z is mortal and For every u, if u is prime, then For every x, c is even"
"Less(v,0)",V is less than 0
"Subset(h(y),w)",H(y) is a subset of w
Odd(b),B is odd
"¬(∃x Friend(0,z) → (Friend(c,u) ∧ Subset(2,w)))","It is not the case that if There exists x, 0 is a friend of z, then c is a friend of u and 2 is a subset of w"
∀u (Prime(u) → ∀u (Odd(u) → Human(w))),"For every u, if u is prime, then For every u, if u is odd, then w is a human"
"Greater(h(v),a)",H(v) is greater than a
(Odd(v) → ∃y (Mortal(y) ∧ Mortal(a))),"If v is odd, then There exists y such that y is mortal and a is mortal"
∃y (Cat(y) ∧ Human(a)),There exists y such that y is a cat and a is a human
¬¬Even(2),It is not the case that It is not the case that 2 is even
"∀v (Even(v) → Friend(a,a))","For every v, if v is even, then a is a friend of a"
"(Cat(u) ∧ (Likes(z,g(w)) ∨ (Animal(u) ↔ Animal(z))))",U is a cat and z likes g(w) or u is an animal if and only if z is an animal
"(((ParentOf(v,w) ↔ ParentOf(1,y)) ∨ ¬Cat(w)) ∨ ∃u ¬Knows(u,g(1)))","V is a parent of w if and only if 1 is a parent of y or It is not the case that w is a cat or There exists u, It is not the case that u knows g(1)"
"(((2 = y → 1 = f(2)) ↔ (Prime(0) → Friend(x,f(c)))) ∧ y = f(w))","If 2 equals y, then 1 equals f(2) if and only if if 0 is prime, then x is a friend of f(c) and y equals f(w)"
∀y (Human(y) → Prime(f(2))),"For every y, if y is a human, then f(2) is prime"
∃u (Prime(u) ∧ ¬∀u (Student(u) → f(y) = b)),"There exists u such that u is prime and It is not the case that For every u, if u is a student, then f(y) equals b"
"Greater(g(a),1)",G(a) is greater than 1
"((∀u (Cat(u) → Likes(h(u),w)) ∧ (Equal(a,a) ∧ Odd(x))) ↔ ¬(Mortal(z) ↔ Prime(f(u))))","For every u, if u is a cat, then h(u) likes w and a is equal to a and x is odd if and only if It is not the case that z is mortal if and only if f(u) is prime"
"∃w (Cat(w) ∧ Likes(g(z),w))",There exists w such that w is a cat and g(z) likes w
"(∀u (Even(u) → ∃v Human(u)) ∨ ∀y (Human(y) → (Friend(w,x) ↔ Equal(g(g(f(g(0)))),a))))","For every u, if u is even, then There exists v, u is a human or For every y, if y is a human, then w is a friend of x if and only if g(g(f(g(0)))) is equal to a"
"Loves(x,x)",X loves x
"¬¬(Student(w) → Subset(u,a))","It is not the case that It is not the case that if w is a student, then u is a subset of a"
"¬(Loves(f(v),v) → (Subset(h(v),y) ↔ Member(1,b)))","It is not the case that if f(v) loves v, then h(v) is a subset of y if and only if 1 is a member of b"
¬¬¬Dog(z),It is not the case that It is not the case that It is not the case that z is a dog
"(ParentOf(y,a) ∨ Odd(g(v)))",Y is a parent of a or g(v) is odd
"∀u (Mortal(u) → ∀x (Friend(b,c) ∧ Animal(v)))","For every u, if u is mortal, then For every x, b is a friend of c and v is an animal"
"∃x (Odd(x) ∧ ∀u ¬Greater(z,z))","There exists x such that x is odd and For every u, It is not the case that z is greater than z"
"(Cat(g(x)) ∧ ∀x (Likes(0,f(v)) ↔ g(w) = w))","G(x) is a cat and For every x, 0 likes f(v) if and only if g(w) equals w"
(Human(u) ∨ Odd(c)),U is a human or c is odd
∃w (Cat(w) ∧ ¬v = f(v)),There exists w such that w is a cat and It is not the case that v equals f(v)
"(Less(f(v),a) ↔ ParentOf(v,f(u)))",F(v) is less than a if and only if v is a parent of f(u)
"Subset(z,h(x))",Z is a subset of h(x)
"Less(f(g(b)),b)",F(g(b)) is less than b
"∃u ((Less(u,2) ∨ Odd(z)) ∨ (Friend(b,z) ↔ Knows(w,a)))","There exists u, u is less than 2 or z is odd or b is a friend of z if and only if w knows a"
"∀w (Human(w) → (∀y (Animal(y) → Equal(g(x),y)) ∧ (g(z) = g(z) ↔ Member(2,w))))","For every w, if w is a human, then For every y, if y is an animal, then g(x) is equal to y and g(z) equals g(z) if and only if 2 is a member of w"
"∃v (Human(v) ∧ ∃w Knows(a,h(f(v))))","There exists v such that v is a human and There exists w, a knows h(f(v))"
∀y ∀z Prime(y),"For every y, For every z, y is prime"
∃y ∃w (Professor(w) ∧ ∀u (Odd(u) → w = g(1))),"There exists y, There exists w such that w is a professor and For every u, if u is odd, then w equals g(1)"
"Member(w,y)",W is a member of y
((∃y (Animal(y) ∧ Mortal(w)) ↔ (1 = y ∧ Odd(1))) → (Cat(b) → ¬Prime(1))),"If There exists y such that y is an animal and w is mortal if and only if 1 equals y and 1 is odd, then if b is a cat, then It is not the case that 1 is prime"
Even(x),X is even
"¬∀u ¬Loves(a,1)","It is not the case that For every u, It is not the case that a loves 1"
"¬∀x (Equal(c,v) ∨ f(2) = u)","It is not the case that For every x, c is equal to v or f(2) equals u"
"∀y (Professor(y) → ((w = y ↔ 0 = f(b)) ↔ (Member(y,y) ∨ u = u)))","For every y, if y is a professor, then w equals y if and only if 0 equals f(b) if and only if y is a member of y or u equals u"
"(Human(x) ∧ ∃y Friend(w,y))","X is a human and There exists y, w is a friend of y"
"Member(f(z),z)",F(z) is a member of z
"(¬∀u (Even(u) → Greater(w,1)) ∧ ∃y (Human(u) ∧ Dog(f(g(y)))))","It is not the case that For every u, if u is even, then w is greater than 1 and There exists y, u is a human and f(g(y)) is a dog"
∀x (Professor(x) → Mortal(f(z))),"For every x, if x is a professor, then f(z) is mortal"
"¬∃u (Animal(u) ∧ ¬Member(g(y),x))",It is not the case that There exists u such that u is an animal and It is not the case that g(y) is a member of x
¬Prime(u),It is not the case that u is prime
"¬(x = f(w) → (Greater(w,y) ↔ 2 = f(x)))","It is not the case that if x equals f(w), then w is greater than y if and only if 2 equals f(x)"
"Likes(x,f(z))",X likes f(z)
"(Friend(2,1) → (Prime(2) ∨ (Professor(x) → Member(f(y),w))))","If 2 is a friend of 1, then 2 is prime or if x is a professor, then f(y) is a member of w"
∃x (Professor(x) ∧ ∃w (Mortal(w) ∧ ∃z (Cat(z) ∧ Human(f(a))))),There exists x such that x is a professor and There exists w such that w is mortal and There exists z such that z is a cat and f(a) is a human
"∀u Knows(u,a)","For every u, u knows a"
"∃z (Odd(z) ∧ Subset(y,u))",There exists z such that z is odd and y is a subset of u
"Member(v,x)",V is a member of x
"(Subset(c,g(v)) ∧ Mortal(1))",C is a subset of g(v) and 1 is mortal
"Member(v,w)",V is a member of w
"(Equal(z,0) ∧ ((Cat(f(x)) → Greater(v,b)) → ¬Member(x,z)))","Z is equal to 0 and if if f(x) is a cat, then v is greater than b, then It is not the case that x is a member of z"
"Less(b,y)",B is less than y
"∀w (Prime(w) → Loves(h(v),z))","For every w, if w is prime, then h(v) loves z"
¬∀x y = h(y),"It is not the case that For every x, y equals h(y)"
Student(2),2 is a student
"∀v (Student(v) → ((Knows(v,u) ∧ Greater(w,u)) ∨ ¬Animal(c)))","For every v, if v is a student, then v knows u and w is greater than u or It is not the case that c is an animal"
"∀z ((Prime(u) ∧ ParentOf(z,g(y))) ↔ ∃z (Dog(z) ∧ Greater(y,x)))","For every z, u is prime and z is a parent of g(y) if and only if There exists z such that z is a dog and y is greater than x"
"Equal(h(0),z)",H(0) is equal to z
"((Animal(y) → ∀y (Odd(y) → x = c)) → Loves(h(u),x))","If if y is an animal, then For every y, if y is odd, then x equals c, then h(u) loves x"
"∃y (Animal(y) ∧ ParentOf(c,z))",There exists y such that y is an animal and c is a parent of z
"(Loves(0,c) ↔ (Odd(h(z)) ∧ Odd(0)))",0 loves c if and only if h(z) is odd and 0 is odd
"(∀w a = h(u) ∨ ∀u (Animal(u) → Member(u,f(x))))","For every w, a equals h(u) or For every u, if u is an animal, then u is a member of f(x)"
"¬Likes(x,a)",It is not the case that x likes a
(¬∃u (Prime(u) ∧ Even(w)) ∨ ¬∀u Even(h(z))),"It is not the case that There exists u such that u is prime and w is even or It is not the case that For every u, h(z) is even"
"(Prime(u) ↔ Loves(g(u),y))",U is prime if and only if g(u) loves y
Prime(h(a)),H(a) is prime
0 = x,0 equals x
(¬¬Professor(h(x)) ∨ Dog(u)),It is not the case that It is not the case that h(x) is a professor or u is a dog
(¬∃y (Human(y) ∧ Odd(w)) → ¬Professor(a)),"If It is not the case that There exists y such that y is a human and w is odd, then It is not the case that a is a professor"
f(0) = v,F(0) equals v
"(¬(Subset(f(u),f(y)) ∧ Less(2,v)) ↔ ∃z (Prime(z) ∧ (Equal(f(u),c) → Odd(y))))","It is not the case that f(u) is a subset of f(y) and 2 is less than v if and only if There exists z such that z is prime and if f(u) is equal to c, then y is odd"
"(((Student(2) ∨ ParentOf(z,1)) ∨ Likes(z,x)) ∧ ∃u Friend(1,a))","2 is a student or z is a parent of 1 or z likes x and There exists u, 1 is a friend of a"
∀u Animal(h(w)),"For every u, h(w) is an animal"
"((Loves(1,x) → ∃w (Mortal(w) ∧ ParentOf(z,w))) → ¬¬Dog(u))","If if 1 loves x, then There exists w such that w is mortal and z is a parent of w, then It is not the case that It is not the case that u is a dog"
¬w = w,It is not the case that w equals w
"∃u (Dog(u) ∧ ((Human(a) ∨ Equal(g(w),h(g(w)))) ∧ Even(a)))",There exists u such that u is a dog and a is a human or g(w) is equal to h(g(w)) and a is even
"Equal(g(z),x)",G(z) is equal to x
"¬¬Member(w,w)",It is not the case that It is not the case that w is a member of w
"(∀v ∃w (Even(w) ∧ Likes(z,b)) ↔ (g(b) = h(w) ∧ (Greater(x,a) ∧ Dog(u))))","For every v, There exists w such that w is even and z likes b if and only if g(b) equals h(w) and x is greater than a and u is a dog"
"¬(Prime(h(2)) → ∃w Subset(x,0))","It is not the case that if h(2) is prime, then There exists w, x is a subset of 0"
"(g(b) = 1 ↔ (Friend(v,v) ↔ 0 = v))",G(b) equals 1 if and only if v is a friend of v if and only if 0 equals v
"¬(Greater(w,v) ↔ Knows(z,g(y)))",It is not the case that w is greater than v if and only if z knows g(y)
z = 0,Z equals 0
"¬(¬Subset(x,f(z)) ∧ ¬Odd(f(v)))",It is not the case that It is not the case that x is a subset of f(z) and It is not the case that f(v) is odd
"¬((Human(v) ↔ Knows(c,u)) ↔ (Animal(u) ↔ Prime(u)))",It is not the case that v is a human if and only if c knows u if and only if u is an animal if and only if u is prime
¬¬(Cat(z) ∨ Even(z)),It is not the case that It is not the case that z is a cat or z is even
"(¬Student(w) → ¬∃x Greater(f(x),h(y)))","If It is not the case that w is a student, then It is not the case that There exists x, f(x) is greater than h(y)"
Prime(1),1 is prime
"ParentOf(z,z)",Z is a parent of z
"Less(c,c)",C is less than c
"¬(∃y (Mortal(y) ∧ Animal(z)) ∧ (Odd(z) → Loves(w,b)))","It is not the case that There exists y such that y is mortal and z is an animal and if z is odd, then w loves b"
(w = 0 ∨ ∀w (Professor(w) → Dog(w))),"W equals 0 or For every w, if w is a professor, then w is a dog"
"∀y ∃u (Professor(u) ∧ (h(w) = h(y) ∨ Less(h(w),0)))","For every y, There exists u such that u is a professor and h(w) equals h(y) or h(w) is less than 0"
"∃x Subset(f(f(z)),1)","There exists x, f(f(z)) is a subset of 1"
"Friend(a,h(z))",A is a friend of h(z)
(Prime(v) → ∃v (Even(v) ∧ Student(z))),"If v is prime, then There exists v such that v is even and z is a student"
"Greater(f(w),w)",F(w) is greater than w
"¬(Knows(x,z) → ∃y Prime(z))","It is not the case that if x knows z, then There exists y, z is prime"
∀w ∀z ∃w Animal(1),"For every w, For every z, There exists w, 1 is an animal"
Odd(c),C is odd
"(¬∀x Odd(u) → Member(z,1))","If It is not the case that For every x, u is odd, then z is a member of 1"
"∃w ∃z Subset(y,g(2))","There exists w, There exists z, y is a subset of g(2)"
"∃x ¬Friend(u,h(u))","There exists x, It is not the case that u is a friend of h(u)"
z = g(u),Z equals g(u)
Cat(g(w)),G(w) is a cat
"Knows(a,y)",A knows y
Professor(2),2 is a professor
"Greater(g(0),u)",G(0) is greater than u
w = c,W equals c
Human(a),A is a human
"∀y (Human(y) → Member(x,v))","For every y, if y is a human, then x is a member of v"
Prime(h(y)),H(y) is prime
"(ParentOf(u,y) → ((Prime(u) ∨ w = u) ∧ x = v))","If u is a parent of y, then u is prime or w equals u and x equals v"
"∃v ∃u (Dog(u) ∧ (Less(c,z) → Animal(f(w))))","There exists v, There exists u such that u is a dog and if c is less than z, then f(w) is an animal"
∀x ∃v Cat(0),"For every x, There exists v, 0 is a cat"
z = f(z),Z equals f(z)
(Human(u) ∧ Mortal(z)),U is a human and z is mortal
¬y = h(z),It is not the case that y equals h(z)
¬¬¬Human(h(v)),It is not the case that It is not the case that It is not the case that h(v) is a human
"∃w Equal(f(h(y)),z)","There exists w, f(h(y)) is equal to z"
"¬Member(v,a)",It is not the case that v is a member of a
∀u ∃z (Dog(z) ∧ Even(x)),"For every u, There exists z such that z is a dog and x is even"
"((∀z (Even(z) → Mortal(g(z))) ∧ (Even(u) → Subset(b,1))) → ∀x (Professor(x) → ∃w (Human(w) ∧ a = g(x))))","If For every z, if z is even, then g(z) is mortal and if u is even, then b is a subset of 1, then For every x, if x is a professor, then There exists w such that w is a human and a equals g(x)"
"∃v ∀w (Animal(w) → Friend(v,w))","There exists v, For every w, if w is an animal, then v is a friend of w"
"((∀y Prime(w) → (Prime(w) ∨ Likes(h(z),h(z)))) ∨ ¬Odd(v))","If For every y, w is prime, then w is prime or h(z) likes h(z) or It is not the case that v is odd"
g(u) = v,G(u) equals v
"(Professor(b) ∨ Member(v,2))",B is a professor or v is a member of 2
(¬¬Professor(u) ↔ ¬Student(v)),It is not the case that It is not the case that u is a professor if and only if It is not the case that v is a student
(Even(h(g(w))) ∧ Mortal(z)),H(g(w)) is even and z is mortal
"¬¬Member(z,a)",It is not the case that It is not the case that z is a member of a
"∀x ∃z ∃u (Cat(u) ∧ Loves(w,y))","For every x, There exists z, There exists u such that u is a cat and w loves y"
∀y (Cat(y) → (¬Odd(0) ∧ ∃z Dog(x))),"For every y, if y is a cat, then It is not the case that 0 is odd and There exists z, x is a dog"
"(Even(h(w)) → ((Less(c,2) ↔ u = y) ↔ ∀z (Odd(z) → Mortal(v))))","If h(w) is even, then c is less than 2 if and only if u equals y if and only if For every z, if z is odd, then v is mortal"
"Likes(f(x),h(y))",F(x) likes h(y)
"Greater(h(u),w)",H(u) is greater than w
"Subset(z,u)",Z is a subset of u
((¬Professor(f(v)) ∨ Student(h(x))) ↔ Odd(u)),It is not the case that f(v) is a professor or h(x) is a student if and only if u is odd
"∀w Likes(x,h(h(y)))","For every w, x likes h(h(y))"
"((Student(h(w)) ∨ (2 = b → Dog(b))) ∧ (∀w Knows(v,v) ↔ ∀y (Odd(y) → Professor(h(y)))))","H(w) is a student or if 2 equals b, then b is a dog and For every w, v knows v if and only if For every y, if y is odd, then h(y) is a professor"
¬Animal(w),It is not the case that w is an animal
"∀v (Prime(v) → (∀y (Odd(y) → Loves(z,f(v))) ∧ ¬Greater(0,z)))","For every v, if v is prime, then For every y, if y is odd, then z loves f(v) and It is not the case that 0 is greater than z"
"¬Equal(v,g(x))",It is not the case that v is equal to g(x)
((¬Animal(h(z)) ↔ ∃w w = h(x)) → ∃x (Odd(x) ∧ Professor(y))),"If It is not the case that h(z) is an animal if and only if There exists w, w equals h(x), then There exists x such that x is odd and y is a professor"
∀x (Dog(x) → Even(g(u))),"For every x, if x is a dog, then g(u) is even"
(∀y (Human(h(w)) ∧ Mortal(w)) → ∀y (Even(y) → Human(f(y)))),"If For every y, h(w) is a human and w is mortal, then For every y, if y is even, then f(y) is a human"
((Odd(f(u)) ∧ ∃z Prime(0)) ∨ (∀v (Professor(v) → Odd(y)) ∨ Prime(c))),"F(u) is odd and There exists z, 0 is prime or For every v, if v is a professor, then y is odd or c is prime"
"((Dog(0) ↔ Mortal(h(x))) ↔ ¬∃z Friend(v,h(h(w))))","0 is a dog if and only if h(x) is mortal if and only if It is not the case that There exists z, v is a friend of h(h(w))"
¬0 = 0,It is not the case that 0 equals 0
"((¬Subset(v,w) ∧ Member(b,0)) ∨ ∃w ∃u (Dog(u) ∧ Cat(v)))","It is not the case that v is a subset of w and b is a member of 0 or There exists w, There exists u such that u is a dog and v is a cat"
"∃u (Friend(f(0),y) → ∃v Dog(0))","There exists u, if f(0) is a friend of y, then There exists v, 0 is a dog"
∀w (Odd(w) → 0 = f(w)),"For every w, if w is odd, then 0 equals f(w)"
Animal(g(b)),G(b) is an animal
"Friend(z,f(u))",Z is a friend of f(u)
∀u (Animal(u) → Professor(0)),"For every u, if u is an animal, then 0 is a professor"
¬¬¬Animal(g(u)),It is not the case that It is not the case that It is not the case that g(u) is an animal
"Equal(f(z),u)",F(z) is equal to u
(∀x a = w → ∃x (Animal(x) ∧ ∀z (Cat(z) → Human(b)))),"If For every x, a equals w, then There exists x such that x is an animal and For every z, if z is a cat, then b is a human"
¬w = f(x),It is not the case that w equals f(x)
"∀v (Cat(v) → ((Cat(u) ↔ v = h(z)) ∧ Member(h(v),g(u))))","For every v, if v is a cat, then u is a cat if and only if v equals h(z) and h(v) is a member of g(u)"
"((Likes(z,u) ∨ (Knows(2,u) ∨ Knows(w,b))) ∧ Human(y))",Z likes u or 2 knows u or w knows b and y is a human
"∀u ∀w ¬Loves(h(y),a)","For every u, For every w, It is not the case that h(y) loves a"
"Loves(w,h(y))",W loves h(y)
"Member(b,y)",B is a member of y
"Knows(y,y)",Y knows y
"∀x (∃w (Prime(w) ∧ Greater(v,h(u))) ↔ v = w)","For every x, There exists w such that w is prime and v is greater than h(u) if and only if v equals w"
(¬Student(c) ↔ ∃y (Even(y) ∧ ∃y (Mortal(y) ∧ v = 1))),It is not the case that c is a student if and only if There exists y such that y is even and There exists y such that y is mortal and v equals 1
∀y (Student(y) → Professor(v)),"For every y, if y is a student, then v is a professor"
"(Likes(h(x),z) ∨ ¬(Human(2) ∨ ParentOf(h(x),y)))",H(x) likes z or It is not the case that 2 is a human or h(x) is a parent of y
"(Member(h(y),v) ∨ (∃x Less(x,2) ∨ Likes(b,u)))","H(y) is a member of v or There exists x, x is less than 2 or b likes u"
"∀v (Cat(v) → ((Friend(a,y) ∨ Equal(f(u),2)) ∧ ∀w (Professor(w) → Dog(h(z)))))","For every v, if v is a cat, then a is a friend of y or f(u) is equal to 2 and For every w, if w is a professor, then h(z) is a dog"
∃z Prime(0),"There exists z, 0 is prime"
"(∀z (Animal(z) ∨ Dog(h(z))) ∧ (ParentOf(z,w) ∨ Student(u)))","For every z, z is an animal or h(z) is a dog and z is a parent of w or u is a student"
∃z (Student(z) ∧ ¬¬Mortal(u)),There exists z such that z is a student and It is not the case that It is not the case that u is mortal
"Equal(y,2)",Y is equal to 2
"¬∀x (Student(x) → ∃w (Professor(w) ∧ Greater(a,v)))","It is not the case that For every x, if x is a student, then There exists w such that w is a professor and a is greater than v"
"Likes(w,x)",W likes x
∀v (Human(v) → Prime(z)),"For every v, if v is a human, then z is prime"
z = b,Z equals b
(¬∃u Student(y) ∧ (Professor(g(z)) → (f(g(a)) = z ↔ Human(w)))),"It is not the case that There exists u, y is a student and if g(z) is a professor, then f(g(a)) equals z if and only if w is a human"
∀u (Dog(u) → 0 = x),"For every u, if u is a dog, then 0 equals x"
Human(c),C is a human
"¬∀y (Animal(y) → (v = 1 ∧ Knows(h(x),v)))","It is not the case that For every y, if y is an animal, then v equals 1 and h(x) knows v"
∃u Professor(0),"There exists u, 0 is a professor"
"(∃v (Dog(v) ∧ Likes(u,y)) ∧ Mortal(g(v)))",There exists v such that v is a dog and u likes y and g(v) is mortal
"¬Friend(0,z)",It is not the case that 0 is a friend of z
(¬Human(b) ∨ ¬∀y v = v),"It is not the case that b is a human or It is not the case that For every y, v equals v"
"((f(z) = 2 ∧ Likes(h(u),g(x))) ↔ ¬2 = 0)",F(z) equals 2 and h(u) likes g(x) if and only if It is not the case that 2 equals 0
"¬∃u (Animal(u) ∧ Less(u,2))",It is not the case that There exists u such that u is an animal and u is less than 2
"∃z (Odd(z) ∧ (Likes(a,v) ↔ 1 = g(z)))",There exists z such that z is odd and a likes v if and only if 1 equals g(z)
c = f(u),C equals f(u)
w = h(x),W equals h(x)
"(∀x (2 = g(w) ∨ Loves(u,w)) ↔ ¬∃u (Animal(u) ∧ Prime(v)))","For every x, 2 equals g(w) or u loves w if and only if It is not the case that There exists u such that u is an animal and v is prime"
"∀u ∃z ¬Subset(v,g(x))","For every u, There exists z, It is not the case that v is a subset of g(x)"
∃y (Student(y) ∧ ¬h(x) = g(a)),There exists y such that y is a student and It is not the case that h(x) equals g(a)
"Less(u,v)",U is less than v
Cat(f(g(w))),F(g(w)) is a cat
(Professor(h(u)) ∨ w = f(w)),H(u) is a professor or w equals f(w)
"((v = 0 ∨ ∀z ParentOf(0,g(a))) ∨ Student(g(w)))","V equals 0 or For every z, 0 is a parent of g(a) or g(w) is a student"
